-1.0	0.5	0.0	0	0
-1.0	0.75	0.0	0	0
-1.0	1.25	0.0	0	0
-1.0	1.5	0.0	0	0
-1.0	1.75	0.0	0	0
-1.0	1	0.0	0	0
-1.0	2.0	0.0	0	0
-1.0	2.25	0.0	0	0
-1.0	2.5	0.0	0	0
-10.0	0.5	-0.5	0	0
-10.0	0.5	-1.0	0	0
-10.0	0.5	-2.0	0	0
-10.0	0.5	-3.0	0	0
-10.0	0.5	0.0	0	0
-10.0	0.5	0.5	0	0
-10.0	0.5	1.0	0	0
-10.0	0.5	2.0	0	0
-10.0	0.5	3.0	0	0
-10.0	1.5	-0.5	0	0
-10.0	1.5	-2.0	0	0
-10.0	1.5	-3.0	0	0
-10.0	1.5	0.0	0	0
-10.0	1.5	0.5	0	0
-10.0	1.5	1.0	0	0
-10.0	1.5	2.0	0	0
-10.0	1.5	3.0	0	0
-10.0	1	-0.5	0	0
-10.0	1	-1.0	0	0
-10.0	1	-2.0	0	0
-10.0	1	-3.0	0	0
-10.0	1	0.0	0	0
-10.0	1	0.5	0	0
-10.0	1	1.0	0	0
-10.0	1	2.0	0	0
-10.0	1	3.0	0	0
-10.0	2.0	-0.5	0	0
-10.0	2.0	-1.0	0	0
-10.0	2.0	-2.0	0	0
-10.0	2.0	-3.0	0	0
-10.0	2.0	0.0	0	0
-10.0	2.0	0.5	0	0
-10.0	2.0	1.0	0	0
-10.0	2.0	2.0	0	0
-10.0	2.0	3.0	0	0
-10.0	2.5	-0.5	0	0
-10.0	2.5	-1.0	0	0
-10.0	2.5	-2.0	0	0
-10.0	2.5	-3.0	0	0
-10.0	2.5	0.0	0	0
-10.0	2.5	0.5	0	0
-10.0	2.5	1.0	0	0
-10.0	2.5	2.0	0	0
-10.0	2.5	3.0	0	0
-12.5	0.5	-0.5	0	0
-12.5	0.5	-1.0	0	0
-12.5	0.5	-2.0	0	0
-12.5	0.5	-3.0	0	0
-12.5	0.5	0.0	0	0
-12.5	0.5	0.5	0	0
-12.5	0.5	1.0	0	0
-12.5	0.5	2.0	0	0
-12.5	0.5	3.0	0	0
-12.5	1.5	-0.5	0	0
-12.5	1.5	-2.0	0	0
-12.5	1.5	-3.0	0	0
-12.5	1.5	0.0	0	0
-12.5	1.5	0.5	0	0
-12.5	1.5	1.0	0	0
-12.5	1.5	2.0	0	0
-12.5	1.5	3.0	0	0
-12.5	1	-0.5	0	0
-12.5	1	-1.0	0	0
-12.5	1	-2.0	0	0
-12.5	1	-3.0	0	0
-12.5	1	0.0	0	0
-12.5	1	0.5	0	0
-12.5	1	1.0	0	0
-12.5	1	2.0	0	0
-12.5	1	3.0	0	0
-12.5	2.0	-0.5	0	0
-12.5	2.0	-1.0	0	0
-12.5	2.0	-2.0	0	0
-12.5	2.0	-3.0	0	0
-12.5	2.0	0.0	0	0
-12.5	2.0	0.5	0	0
