# Inverse covariance matrix for the global fit to precision observables.
# Calculated from the correlation matrix and uncertainties on the central 
# values of c0.dat.
3.11457e7 -2.72156e6 221963. -164160. 3064.8 6.98492e-10 -3064.8 -2.32831e-10 0 0 0 0 0 0 -479390. -118103. -118103. -445307. 189036. 0 0 0 12345.7
-2.72156e6 6.9953e6 1.16703e7 -6.79635e6 2.12724e6 -957369. -3.92093e6 718026. -7878.82 -13223.5 -10504.5 0 0 0 481767. 118103. 116043. 445307. -189036. 0 0 0 -12345.7
221963. 1.16703e7 6.47083e7 -3.01302e7 9.53436e6 -4.27718e6 -1.72681e7 3.32232e6 -6554.63 -3833.61 -6748.33 14152.3 -182906. -119508. -57411.6 7879.48 5958.65 -51515.8 -28960.8 -28960.8 6332.67 -26883.2 0
-164160. -6.79635e6 -3.01302e7 3.87707e7 -6.36498e6 2.79258e6 1.19229e7 -1.96114e6 -1595.04 -1680.88 -1849.61 124021. 215236. 7451.93 41178.9 -14129.2 -18426.2 38099.6 21699.9 21699.9 -9557.53 20143.1 0
3064.8 2.12724e6 9.53436e6 -6.36498e6 4.03262e6 -1.74992e6 -6.44275e6 1.17904e6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6.98492e-10 -957369. -4.27718e6 2.79258e6 -1.74992e6 812874. 2.86348e6 -523530. 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-3064.8 -3.92093e6 -1.72681e7 1.19229e7 -6.44275e6 2.86348e6 1.26433e7 -2.28046e6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-2.32831e-10 718026. 3.32232e6 -1.96114e6 1.17904e6 -523530. -2.28046e6 433530. 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 -7878.82 -6554.63 -1595.04 0 0 0 0 1361.95 620.767 1353.44 0 0 0 0 0 0 0 0 0 0 0 0
0 -13223.5 -3833.61 -1680.88 0 0 0 0 620.767 484.959 671.713 0 0 0 0 0 0 0 0 0 0 0 0
0 -10504.5 -6748.33 -1849.61 0 0 0 0 1353.44 671.713 1366.08 0 0 0 0 0 0 0 0 0 0 0 0
0 0 14152.3 124021. 0 0 0 0 0 0 0 124872. 173420. 60587.6 0 0 0 0 0 0 0 0 0
0 0 -182906. 215236. 0 0 0 0 0 0 0 173420. 530917. 170513. 0 0 0 0 0 0 0 0 0
0 0 -119508. 7451.93 0 0 0 0 0 0 0 60587.6 170513. 121339. 0 0 0 0 0 0 0 0 0
-479390. 481767. -57411.6 41178.9 0 0 0 0 0 0 0 0 0 0 121996. 29525.7 29456.3 111327. 0 0 0 0 0
-118103. 118103. 7879.48 -14129.2 0 0 0 0 0 0 0 0 0 0 29525.7 48440.4 48440.4 27429.4 0 0 0 0 0
-118103. 116043. 5958.65 -18426.2 0 0 0 0 0 0 0 0 0 0 29456.3 48440.4 50588.9 27429.4 0 0 0 0 0
-445307. 445307. -51515.8 38099.6 0 0 0 0 0 0 0 0 0 0 111327. 27429.4 27429.4 103412. 0 0 0 0 0
189036. -189036. -28960.8 21699.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 107772. 60513.1 13458. 56206.3 0
0 0 -28960.8 21699.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60513.1 60513.1 13458. 56206.3 0
0 0 6332.67 -9557.53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13458. 13458. 27445.8 12501.1 0
0 0 -26883.2 20143.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56206.3 56206.3 12501.1 52206.2 0
12345.7 -12345.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3086.42
